# Acce x,Acce y,Acce z,Gyro x,Gyro y,Gyro z,Magn x,Magn y,Magn z,Position x,Position y,Position z,Voltage,UWB ID,UWB distande
4,-132,-7984,-60,115,41,-6146,-10240,-13827,2379,1479,-102,7322,33,2364
12,-208,-7984,-78,85,25,-9986,-10240,-11523,2340,1435,-51,7322,33,2374
-4,-88,-7980,-64,102,27,-6658,-10240,-15107,2378,1500,-75,7322,33,2364
12,-136,-8008,-71,87,18,-7938,-12800,-12035,2360,1476,-89,7322,33,2364
44,-136,-8000,-80,76,34,-8450,-11264,-15619,2359,1423,-123,7322,33,2402
44,-136,-8000,-80,76,34,-8450,-11264,-15619,2359,1423,-123,7322,33,2402
44,-136,-8000,-80,76,34,-8450,-11264,-15619,2367,1438,-140,7322,0,0
-8,-172,-8036,-53,67,0,-6658,-11520,-12547,2346,1462,-110,7322,33,2383
-8,-144,-8036,-66,92,37,-6146,-10240,-13827,2348,1479,-103,7322,33,2345
-8,-144,-8036,-66,92,37,-6146,-10240,-13827,2348,1479,-103,7322,33,2345
-8,-144,-8036,-66,92,37,-6146,-10240,-13827,2348,1479,-103,7322,33,2345
-8,-144,-8036,-66,92,37,-6146,-10240,-13827,2348,1479,-103,7322,33,2345
64,-108,-8012,-76,93,10,-10498,-11520,-13315,2363,1452,-78,7322,33,2392
64,-108,-8012,-76,93,10,-10498,-11520,-13315,2363,1452,-78,7322,33,2402
40,-148,-7964,-82,88,20,-5890,-11264,-11779,2363,1452,-78,7322,33,2402
40,-148,-7964,-82,88,20,-5890,-11264,-11779,2368,1482,-121,7322,33,2402
40,-148,-7964,-82,88,20,-5890,-11264,-11779,2368,1482,-121,7322,33,2383
40,-148,-7964,-82,88,20,-5890,-11264,-11779,2352,1448,-118,7322,33,2383
-8,-120,-7992,-67,81,56,-6146,-10240,-13827,2352,1448,-118,7322,33,2383
4,-128,-8028,-83,95,32,-6146,-9472,-13827,2352,1448,-118,7322,33,2355
28,-108,-7996,-41,91,22,-9986,-11520,-12547,2352,1448,-118,7322,33,2392
28,-108,-7996,-41,91,22,-9986,-11520,-12547,2352,1448,-118,7322,33,2392
28,-108,-7996,-41,91,22,-9986,-11520,-12547,2352,1448,-118,7322,33,2392
12,-100,-8000,-51,94,34,-7426,-11520,-12547,2343,1453,-97,7322,0,0
44,-188,-7972,-86,82,28,-8450,-11264,-16131,2343,1453,-97,7322,33,2374
-36,-176,-8012,-89,100,24,-6402,-9984,-12291,2378,1478,-94,7322,33,2364
-36,-176,-8012,-89,100,24,-6402,-9984,-12291,2378,1478,-94,7322,33,2364
8,-156,-7924,-76,87,21,-3586,-13568,-14595,2358,1486,-88,7322,33,2364
-32,-184,-8024,-81,83,42,-7682,-9984,-11011,2357,1467,-73,7322,33,2364
32,-144,-7984,-71,69,26,-8962,-13312,-15619,2357,1467,-73,7322,33,2355
32,-144,-7984,-71,69,26,-8962,-13312,-15619,2345,1432,-153,7322,33,2364
12,-156,-8036,-62,99,22,-9218,-12800,-13315,2345,1432,-153,7322,33,2364
12,-156,-8036,-62,99,22,-9218,-12800,-13315,2345,1432,-153,7322,33,2364
24,-204,-8028,-79,96,23,-8706,-11520,-14595,2377,1513,-4,7322,33,2364
24,-204,-8028,-79,96,23,-8706,-11520,-14595,2377,1513,-4,7322,33,2364
48,-112,-7996,-76,69,45,-5890,-11776,-15619,2363,1459,-86,7322,33,2364
24,-148,-8024,-53,62,46,-7938,-8960,-14595,2350,1476,-86,7322,33,2374
24,-148,-8024,-53,62,46,-7938,-8960,-14595,2350,1476,-86,7322,33,2374
0,-184,-8000,-71,87,32,-9218,-10240,-14595,2342,1495,-63,7322,33,2364
-4,-160,-8072,-69,69,18,-7426,-11520,-15107,2345,1484,-74,7322,33,2364
8,-112,-8056,-63,78,13,-6146,-12288,-13827,2346,1443,-97,7322,33,2345
8,-112,-8056,-63,78,13,-6146,-12288,-13827,2346,1443,-97,7322,33,2345
8,-112,-8056,-63,78,13,-6146,-12288,-13827,2354,1466,-93,7322,33,2364
8,-112,-8056,-63,78,13,-6146,-12288,-13827,2352,1468,-114,7322,33,2364
8,-112,-8056,-63,78,13,-6146,-12288,-13827,2370,1427,-152,7322,33,2355
8,-112,-8056,-63,78,13,-6146,-12288,-13827,2370,1427,-152,7322,33,2374
-12,-128,-8000,-70,112,12,-9730,-14592,-16131,2370,1427,-152,7322,33,2364
-12,-128,-8000,-70,112,12,-9730,-14592,-16131,2370,1427,-152,7322,33,2364
72,-156,-8024,-76,84,36,-9218,-10240,-11523,2343,1473,-95,7322,33,2336
60,-192,-7976,-69,54,51,-9730,-11776,-11779,2372,1488,-71,7322,33,2392
60,-192,-7976,-69,54,51,-9730,-11776,-11779,2372,1488,-71,7322,33,2392
-40,-108,-8052,-57,93,35,-7938,-11008,-13315,2372,1488,-71,7322,33,2392
-40,-108,-8052,-57,93,35,-7938,-11008,-13315,2372,1488,-71,7322,33,2392
-40,-108,-8052,-57,93,35,-7938,-11008,-13315,2372,1488,-71,7322,33,2392
-40,-108,-8052,-57,93,35,-7938,-11008,-13315,2372,1488,-71,7322,33,2392
-40,-108,-8052,-57,93,35,-7938,-11008,-13315,2372,1488,-71,7322,33,2392
-40,-108,-8052,-57,93,35,-7938,-11008,-13315,2372,1488,-71,7322,33,2392
-40,-108,-8052,-57,93,35,-7938,-11008,-13315,2372,1488,-71,7322,33,2392
-40,-108,-8052,-57,93,35,-7938,-11008,-13315,2348,1455,-107,7322,33,2392
-40,-108,-8052,-57,93,35,-7938,-11008,-13315,2348,1455,-107,7322,33,2345
-40,-108,-8052,-57,93,35,-7938,-11008,-13315,2348,1455,-107,7322,33,2345
-40,-108,-8052,-57,93,35,-7938,-11008,-13315,2348,1455,-107,7322,33,2345
-40,-108,-8052,-57,93,35,-7938,-11008,-13315,2348,1455,-107,7322,33,2345
-40,-108,-8052,-57,93,35,-7938,-11008,-13315,2348,1455,-107,7322,33,2345
-40,-108,-8052,-57,93,35,-7938,-11008,-13315,2348,1455,-107,7322,33,2345
-40,-156,-8040,-69,83,9,-5122,-11264,-13059,2348,1455,-107,7322,33,2345
-40,-156,-8040,-69,83,9,-5122,-11264,-13059,2348,1455,-107,7322,33,2345
-40,-156,-8040,-69,83,9,-5122,-11264,-13059,2348,1455,-107,7322,33,2345
-40,-156,-8040,-69,83,9,-5122,-11264,-13059,2348,1455,-107,7322,33,2345
-40,-156,-8040,-69,83,9,-5122,-11264,-13059,2348,1455,-107,7322,33,2345
-40,-156,-8040,-69,83,9,-5122,-11264,-13059,2348,1455,-107,7322,33,2345
-40,-156,-8040,-69,83,9,-5122,-11264,-13059,2348,1455,-107,7322,33,2345
-40,-156,-8040,-69,83,9,-5122,-11264,-13059,2348,1455,-107,7322,33,2345
-40,-156,-8040,-69,83,9,-5122,-11264,-13059,2348,1455,-107,7322,33,2345
-40,-156,-8040,-69,83,9,-5122,-11264,-13059,2348,1455,-107,7322,33,2345
-48,-132,-7956,-68,97,41,-7170,-9984,-13059,2346,1482,-97,7322,33,2345
-48,-132,-7956,-68,97,41,-7170,-9984,-13059,2346,1482,-97,7322,33,2345
-48,-132,-7956,-68,97,41,-7170,-9984,-13059,2346,1482,-97,7322,33,2336
-48,-132,-7956,-68,97,41,-7170,-9984,-13059,2346,1482,-97,7322,33,2336
-48,-132,-7956,-68,97,41,-7170,-9984,-13059,2346,1482,-97,7322,33,2336
-48,-132,-7956,-68,97,41,-7170,-9984,-13059,2346,1482,-97,7322,33,2336
-48,-132,-7956,-68,97,41,-7170,-9984,-13059,2346,1482,-97,7322,33,2336
